forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2023-11-22,DAX,1 day,-2.512870,-0.568104,0.032509,0.653720,2.212123
2023-11-22,DAX,2 day,-3.313147,-0.845477,0.040133,0.930484,3.054446
2023-11-22,DAX,5 day,-4.230483,-1.007381,0.082107,1.163067,3.915251
2023-11-22,DAX,6 day,-5.273315,-1.255728,0.095585,1.455414,4.815699
2023-11-22,DAX,7 day,-5.993686,-1.449455,0.165065,1.700862,5.755782
2023-11-22,energy,36 hour,54.280381,62.274779,65.451004,68.761376,75.145365
2023-11-22,energy,40 hour,52.964009,59.740779,62.920567,66.652220,72.953362
2023-11-22,energy,44 hour,48.792654,54.341812,58.162066,61.746969,67.979397
2023-11-22,energy,60 hour,45.926100,52.332810,55.698781,59.195690,64.591801
2023-11-22,energy,64 hour,44.228078,50.373217,53.802781,57.193096,63.537807
2023-11-22,energy,68 hour,40.304972,46.146843,49.902218,53.595908,59.628660
2023-11-22,infections,0 week,NA,NA,NA,NA,NA
2023-11-22,infections,1 week,NA,NA,NA,NA,NA
2023-11-22,infections,2 week,NA,NA,NA,NA,NA
2023-11-22,infections,3 week,NA,NA,NA,NA,NA
2023-11-22,infections,4 week,NA,NA,NA,NA,NA
